"GEO_ID","NAME","P5_001N","P5_002N","P5_003N","P5_004N","P5_005N","P5_006N","P5_007N","P5_008N","P5_009N","P5_010N","P5_011N","P5_012N","P5_013N","P5_014N","P5_015N","P5_016N","P5_017N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Not Hispanic or Latino:"," !!Total:!!Not Hispanic or Latino:!!White alone"," !!Total:!!Not Hispanic or Latino:!!Black or African American alone"," !!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Not Hispanic or Latino:!!Asian alone"," !!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Not Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Not Hispanic or Latino:!!Two or More Races"," !!Total:!!Hispanic or Latino:"," !!Total:!!Hispanic or Latino:!!White alone"," !!Total:!!Hispanic or Latino:!!Black or African American alone"," !!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone"," !!Total:!!Hispanic or Latino:!!Asian alone"," !!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone"," !!Total:!!Hispanic or Latino:!!Some Other Race alone"," !!Total:!!Hispanic or Latino:!!Two or More Races",
"1000000US150030086262019","Block 2019, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","56","54","0","3","0","42","0","0","9","2","0","0","0","0","0","0","2",
"1000000US150030086262020","Block 2020, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","43","39","0","0","0","11","9","0","19","4","0","0","0","1","0","0","3",
"1000000US150030086262021","Block 2021, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","31","29","2","1","0","24","0","0","2","2","0","0","0","0","0","0","2",
"1000000US150030086262022","Block 2022, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","30","21","0","1","0","9","6","0","5","9","0","0","0","4","0","0","5",
"1000000US150030086262023","Block 2023, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","14","10","0","1","0","2","2","0","5","4","0","0","0","1","0","0","3",
"1000000US150030086262024","Block 2024, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","32","24","4","0","0","14","0","1","5","8","1","0","0","0","1","0","6",
"1000000US150030086262025","Block 2025, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","17","12","0","2","0","5","1","0","4","5","0","0","0","2","1","0","2",
"1000000US150030086262026","Block 2026, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","29","27","6","0","0","17","2","0","2","2","0","0","0","0","0","0","2",
"1000000US150030086262027","Block 2027, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","78","73","2","1","0","50","6","0","14","5","1","0","0","0","0","1","3",
"1000000US150030086262028","Block 2028, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","56","45","2","0","0","31","0","0","12","11","0","0","0","0","0","0","11",
"1000000US150030086262029","Block 2029, Block Group 2, Census Tract 86.26, Honolulu County, Hawaii","26","22","0","0","0","16","2","0","4","4","0","0","0","1","0","0","3",
